Comment,Sentiment,Score
Sachiv ji ni dikhaye mzaa ni aaya 😔,Neutral,0.0
Ek aur season upload kar do,Neutral,0.0
Amazing performance and super content 👌👌👌,Positive,0.8271
Sahayak kabhi suspend nhi hote direct terminate hote hain or sarpanch nhi kr skta,Negative,-0.3182
In sab cheezon ka reality se koi   <br>Lena Dena nhi hai,Neutral,0.0
प्रधान मैडम कब पढ़ ली,Neutral,0.0
Ye konsa season hai?,Neutral,0.0
Agla season kb aayega,Neutral,0.0
Amazing series,Positive,0.5859
I am dying to watch season 4.,Neutral,0.0
"Hello TVF and TVF’s fans.. watch my comedy mini film. If u like please give like me 😊<br><br><br>Holi ki Gujiya | Comedy SAN made | Hindi mini film | 2025<br><a href=""https://www.youtube.com/watch?v=vtrXHwxP1nI"">https://youtu.be/vtrXHwxP1nI</a>",Positive,0.8834
"Hello TVF and TVF’s fans.. watch my comedy mini film. If u like please give like me 😊<br><br><br>Holi ki Gujiya | Comedy SAN made | Hindi mini film | 2025<br><a href=""https://www.youtube.com/watch?v=vtrXHwxP1nI"">https://youtu.be/vtrXHwxP1nI</a>",Positive,0.8834
Asli Pradhan toh Manju Devi hi hai but Pradhan Pati ka alag hi swag hai..... &quot;Cheeeeee Sasur&quot;,Neutral,0.0
Series 4 kab ayegi❤❤❤❤,Neutral,0.0
This is real panchayat.,Neutral,0.0
"<a href=""https://www.youtube.com/shorts/YZe9qjssfa8"">https://youtube.com/shorts/YZe9qjssfa8?si=X14DEfXfFtLsG0wq</a>",Neutral,0.0
Sachiv ji nhi dikh rahe 😂,Neutral,0.0
"Daan ki diwar , whats an idea....😮😮",Neutral,0.0
Yeh sab band karo Season 4 announce karo bhai amazon Prime pai.,Positive,0.1779
❤❤,Neutral,0.0
"Ayen sasur, nahi karenge kaam 😂😂😂",Neutral,0.0
Made Emotional Moment ❤😢,Positive,0.1531
"ऐसे ही छोटे छोटे ड्रॉप वीडियो बहुत कुछ सीखा जाते है,, ऐसे ही छोटे छोटे वीडियो डालते रहिए हम पंचायत से जुड़े रहेंगे।।।❤",Neutral,0.0
Bandar complaint from Sukreev😂😂😂😢. Bali bura na Maan jaye 😂,Negative,-0.296
पंचायत ki aisi Video Panchayat Show Ka Yad Taza Karti Rahti Hain ❤😊,Neutral,0.0
The best series... Jo Dil chchu jati hai ❤,Positive,0.6369
Rajiv Ranjan singh and SP singh baghel..... ❤,Neutral,0.0
These rotten villagers don&#39;t have the manner to be called upon as humans,Negative,-0.5106
Ye kaunsa season je,Neutral,0.0
the fact that it was endorsed by Ministry of Panchayati Raj &amp; GOI shows the level of impact this show has achieved 🙌🏻,Positive,0.25
By God sach kahu tu Binod aur Banraks ke bina maja hi nhi aata hai.,Positive,0.2732
Aur ek baat aur jhant ukhadane se murda halka nahi ho jata hai,Neutral,0.0
Baat na m ki hai na pu ki baat hai bas ya bus insaniyat ki,Negative,-0.2732
Aayein Itna Chhota Video😅 Chhiii,Neutral,0.0
Is this season 4?,Neutral,0.0
Ye maqsood Bhai the kya mbmbbs Wale,Neutral,0.0
Panchayet Season 4 Jaldi Laoo😊,Neutral,0.0
Amazing 😍❤,Positive,0.5859
आज होली है और कल CGL मैंस का कटऑफ आया है ...normalisation  के काले रंग के सामने सारे रंग फीके पड़ रहे हैं ...मै कमरे में बैठा हूं .....और सोच रहा पर कुछ समझ नहीं आ रहा ....तो बस देखने आ गया ...कभी कभी मैं हंसता हूं  ...दिल भी मेरा भारी है ...करूं आगे या छोड़ दूं लड़ाई खुद से जारी है ....<br>अजीब है....,Neutral,0.0
Season 4 kab aayega??,Neutral,0.0
Kamsekm 60-70 crores minimum bhai,Neutral,0.0
I hope this never ends ❤,Positive,0.4404
ऐसे एपिसोड आते रहने चाहिए... थोड़ा और स्टोरी लाइन ठीक करें.....  वैसे ये एपिसोड दिसम्बर में आना चाहिए था,Neutral,0.0
"Vikash bhai ka look match nhi kr raha h pehle jaisa, isme jyada smart lag rahe hain jo ko concept ke according acha nhi lag raha h, pehle wala part ka best tha🎇🎇🎇🎇🎇🎇🎇🎇🎇🎇🎇🎇",Positive,0.4767
Panchayat ko bas kabhi band mar karna.,Neutral,0.0
Nina best actress,Positive,0.6369
मैडम में कुछ हृदय परिवर्तन हुआ क्या😂,Neutral,0.0
Woww is this season 4……?,Neutral,0.0
"इस बार कैमरे की क्वालिटी ज्यादा अच्छी कर दी है जिससे गांव की वास्तविक फोटो नहीं दिखती, सब दिखावटी लगने लगा है पहले ज्यादा वास्तविक लगता था",Neutral,0.0
"I&#39;m fall in love with <a href=""http://www.youtube.com/results?search_query=%23panchayat"">#Panchayat</a>",Positive,0.6369
Jb tak season aye. Aisa he kuch upload karte rahiye ga.,Neutral,0.0
